SCB-1412	40
	
	
SCB-1414	37
RB5308	52
RB5210	53
RB5309	55
RB5310	54
RB5209	54
RB5401	71
RB5208	54
RB5102	50
RB5103	11
RB5401	55
RB5405	50
RB5406	45
RB5104	51
RB3202	44
RB3201	4
RB5103	37
RB3201	32
RB5401	28
RB5201	82
RB5208	26
RB5301	80
	
RB5308	50
RB5101	74
RB5209	50
RB5210	18
RB5105	50
RB5309	52
RB5310	14
RB5208	6
RB5310	19
RB5210	15
RB5208	20
RB5310	19
RB3202	5
BB2106	6
RB3301	60
RB3302	60
RB5101	65
RB5102	45
RB5208	54
RB5209	53
RB5210	53
RB5401	82
	
RB5201	82
RB5301	62
BB1214	15
RB3201	45
RB3202	45
RB3205	45
RB3206	45
RB3210	44
RB3211	44
RB3301	50
RB3302	52
RB3304	45
RB3305	45
RB3309	45
RB3310	45
RB3401	45
RB3402	45
RB3403	45
RB3405	45
RB3406	45
RB3410	45
RB5101	75
	
RB5102	45
RB5103	45
RB5104	45
RB5105	45
RB5201	31
RB5301	24
RB5301	58
RB5201	31
RB5308	47
RB5309	47
BB1214	14
RB1310	21
BB1213	7
BB1309	6
RB5101	70
RB5102	45
RB5103	45
RB5201	70
CB1113	30
CB1310	30
CB1313	9
CSB100	21
	
CSB100	25
SCB 3205	44
SCB 3100	70
GB 100	39
GB 202	16
SCB 3100	1
RB5301	36
RB5301	25
RB5301	1
RB5401	31
PB2-100	61
PB1-230	40
PB1-330	37
SCB-1302	30
STB206	33
IMB 4403	13
PB2-205	20
PB2-106	3
RB3301	60
RB3302	60
RB3304	45
	
RB3305	45
BB1100	22
SCB2814	29
SCB2718	26
SCB2720	30
PB2-106	4
SCB 3311	16
RB5401	7
RB5101	70
RB5102	45
RB5103	45
RB5104	45
RB5105	45
RB5201	70
RB5208	45
RB5301	70
RB5308	45
RB3310	37
RB3301	37
RB3302	37
RB3304	37
RB3305	37
	
RB3309	37
RB3211	37
RB3401	37
BB1215	34
BB1100	34
RB5101	75
RB5102	45
RB5103	45
RB5104	45
CB1314	21
RB5208	45
RB5209	45
RB5210	10
RB5105	35
RB5301	65
CB1313	30
CB1113	25
CSB100	18
CSB100	25
CSB209	33
CSB210	30
CSB210	2
	
GB 100	37
SCB 3205	48
RB5405	40
RB5405	4
RB5406	50
RB5401	41
RB5401	38
RB5405	2
RB5201	59
RB5201	10
RB5308	43
RB5310	34
RB5309	19
RB5310	17
RB5309	30
